Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
01/12/2020,19.3,28.4,0,6.4,7,WSW,56,17:40,21.3,81,7,NNE,17,1013.3,27.3,64,0,ENE,35,1006.9,1
02/12/2020,19,24,6.8,9.4,2.8,SSW,56,02:03,21.6,74,7,SSE,30,1018.8,21.2,70,7,ESE,22,1019.7,1
03/12/2020,17.2,23,0.6,5.4,0,NE,37,13:06,20.5,71,8,ENE,15,1022.7,20.7,78,8,NE,20,1019.5,0
04/12/2020,18.6,30,0,4,12.8,SSE,35,21:23,23,80,0,NW,6,1015.1,25.5,64,1,E,13,1010.8,0
05/12/2020,19.5,25.1,0,10,0,NNE,43,21:04,21,78,7,ENE,13,1013.1,23.6,73,8,ENE,13,1006.2,1
06/12/2020,20.9,30.7,6.2,1.8,13.4,W,56,17:24,23.8,48,1,WNW,20,1002,29.7,22,1,W,31,1000.8,0
07/12/2020,18,30.8,0,14,12.3,W,50,17:50,23.8,36,1,NNW,24,1005.3,29.7,23,1,W,24,1002.5,0
08/12/2020,15.6,24.5,0,13.2,13.3,SW,63,23:24,18.4,44,1,SSW,17,1012.9,22.2,40,1,SE,24,1014,0
09/12/2020,14.4,26.7,0,9.2,13.1,ENE,39,16:16,19.9,59,1,W,15,1020.1,24.6,49,1,E,28,1016.8,0
10/12/2020,16.9,27.3,0,12,9,S,65,12:47,21.2,69,3, ,Calm,1017.7,24.1,65,5,S,41,1019.4,0
11/12/2020,17,23.9,0,11.6,5.1,SE,50,00:22,19.7,52,6,SSE,24,1028.7,21.5,48,7,SE,22,1028,1
12/12/2020,15.5,25.1,1.6,8.2,7.1,ESE,43,13:11,20.6,52,7,ESE,24,1030.5,24.7,51,6,SE,26,1028.7,1
13/12/2020,16,27.5,1.6,9.6,9,E,44,20:37,21.4,67,4,ESE,13,1026,27,53,5,ENE,20,1023.7,1
14/12/2020,18.1,24.8,3.6,9.2,0.3,ENE,39,09:20,21.6,80,8,E,9,1021.1,23.9,74,7,E,9,1019.3,1
15/12/2020,18.7,24.8,11.6,1.4,1.1,E,48,18:31,20.7,100,8,ESE,17,1017.2,22.5,92,7,E,19,1014.4,1
16/12/2020,20.6,27.7,12.2,3.6,4.1,NE,48,16:16,22.6,100,7,NE,17,1012.2,23.6,90,7,NE,28,1008.9,1
17/12/2020,21.4,30.5,0.2,5.6,8.1,NNE,44,16:07,24.6,86,7,NE,11,1006.7,28.7,67,3,NE,20,1003.9,0
18/12/2020,22.2,30.3,0,5.4,3.3,NW,46,10:08,27.3,78,6,ESE,6,1005.1,29.9,52,8,NW,20,1005.1,1
19/12/2020,19,19.6,1.4,5.8,0,SSE,41,23:23,19.5,79,8,SSE,15,1017.2,19,90,8,SE,13,1017.4,1
20/12/2020,18,23.7,7,1.4,1.8,SSW,26,00:31,19,99,8,SSW,13,1013.7,23.4,82,6,E,13,1011.7,1
21/12/2020,18.8,24.5,1.6,3,0.8,ENE,31,13:59,21.4,92,8,E,4,1012.9,21.9,94,8,ENE,19,1009.8,1
22/12/2020,17.7,27.6,26.2,2,1.8,W,54,16:03,19.7,99,7,W,11,1001.7,26.3,50,7,W,28,1002.6,0
23/12/2020,16.2,26.3,0,8.8,12.2,SSE,52,13:54,20.7,55,1,W,26,1013.4,25.6,49,6,SSE,39,1015.1,0
24/12/2020,17.2,26.9,0,7,11.6,NE,43,16:27,21.8,75,7,N,11,1017,25.6,59,6,NE,26,1013,1
25/12/2020,18,21.9,0.6,10.2,1.2,S,44,02:22,18.7,88,7,SSE,22,1019.5,21.1,67,7,SSE,26,1019.9,1
26/12/2020,17.5,25.8,0.8,4.2,2.5,ENE,46,14:29,19.8,92,7,W,4,1020.4,24.8,62,4,ENE,30,1017,1
27/12/2020,17.3,27.4,3.6,6.6,11.7,NNE,37,18:51,19.4,93,1,WNW,17,1013.4,25.6,68,2,E,22,1008.9,0
28/12/2020,19.3,30.3,0,7.4,4.2,SSE,54,12:24,26.2,65,7,SSW,20,1007.6,21.8,71,7,SSE,30,1009.7,1
29/12/2020,16.9,20.8,14,6,0,SSW,44,15:29,17.3,98,8,SW,9,1015.1,20.3,82,7,SSW,20,1014,1
30/12/2020,17.2,24,19.2,1.6,2.8,S,41,00:30,18.9,95,8,SSE,13,1018.8,23.2,68,7,ESE,20,1018.7,1
31/12/2020,18.3,24.5,0.2,7.4,0.5,SSE,33,08:38,22.1,76,7,SSE,19,1020.2,21.4,85,8,ESE,15,1020.1,
